,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
118,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,2500,5350,Q
119,2023-01-06,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
120,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,329,707.35,Q
122,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,488,1044.32,Q
124,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.16,77,166.32,Q
126,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,13,27.95,Q
128,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,232,498.8,Q
130,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,370,791.8,Q
132,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,533,1140.62,Q
134,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,450,967.5,Q
136,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,18465,39515.1,G
138,2023-01-06,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,85,4675,G
154,2023-01-06,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
156,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,284,610.6,G
157,2023-01-09,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
158,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,60000,128400,Q
160,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,1110,2375.4,Q
162,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,1480,3182,Q
164,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,500,1075,Q
166,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,977,2100.55,Q
168,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,5810,12433.4,Q
170,2023-01-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,1500,3225,Q
172,2023-01-09,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,5750,6325,Q
174,2023-01-09,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.07,9968,10665.76,Q
181,2023-01-09,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
